state_spaces:  {'first_0': Box(0.0, 1.0, (128,), float32), 'second_0': Box(0.0, 1.0, (128,), float32)} ,  action_spaces:  {'first_0': Discrete(18), 'second_0': Discrete(18)}
['first_0', 'second_0']
exploiter avg. score: 18.55, avg. epi length: 859
# of episode :500
exploiter avg. score: 18.15, avg. epi length: 877
# of episode :520
exploiter avg. score: 17.55, avg. epi length: 845
# of episode :540
exploiter avg. score: 16.45, avg. epi length: 895
# of episode :560
exploiter avg. score: 19.4, avg. epi length: 811
# of episode :580
exploiter avg. score: 17.25, avg. epi length: 907
# of episode :600
exploiter avg. score: 18.05, avg. epi length: 892
# of episode :620
exploiter avg. score: 16.7, avg. epi length: 946
# of episode :640
exploiter avg. score: 15.65, avg. epi length: 980
# of episode :660
exploiter avg. score: 18.85, avg. epi length: 832
# of episode :680
exploiter avg. score: 18.35, avg. epi length: 837
# of episode :700
exploiter avg. score: 16.4, avg. epi length: 858
# of episode :720
exploiter avg. score: 18.6, avg. epi length: 860
# of episode :740
exploiter avg. score: 19.2, avg. epi length: 811
# of episode :760
exploiter avg. score: 18.9, avg. epi length: 837
# of episode :780
exploiter avg. score: 14.95, avg. epi length: 987
# of episode :800
exploiter avg. score: 7.5, avg. epi length: 1045
# of episode :820
exploiter avg. score: 14.15, avg. epi length: 1039
# of episode :840
exploiter avg. score: 12.15, avg. epi length: 995
# of episode :860
exploiter avg. score: 18.35, avg. epi length: 863
# of episode :880
exploiter avg. score: 17.75, avg. epi length: 893
# of episode :900
exploiter avg. score: 17.65, avg. epi length: 848
# of episode :920
exploiter avg. score: 14.15, avg. epi length: 972
# of episode :940
exploiter avg. score: 15.95, avg. epi length: 937
# of episode :960
exploiter avg. score: 17.6, avg. epi length: 864
# of episode :980
exploiter avg. score: 16.35, avg. epi length: 960
Final score: 16.35, episode length: 960
load model:  120 120mappo_single_1
model/pong_v1/selfplay/120mappo_single_1
# of episode :0
exploiter avg. score: -0.4, avg. epi length: 1222
# of episode :20
exploiter avg. score: 1.05, avg. epi length: 1228
# of episode :40
exploiter avg. score: 0.9, avg. epi length: 1377
# of episode :60
exploiter avg. score: 0.15, avg. epi length: 1376
# of episode :80
exploiter avg. score: 1.45, avg. epi length: 1329
# of episode :100
exploiter avg. score: 7.05, avg. epi length: 1303
# of episode :120
exploiter avg. score: 10.4, avg. epi length: 1217
# of episode :140
exploiter avg. score: 5.5, avg. epi length: 1379
# of episode :160
exploiter avg. score: 8.7, avg. epi length: 1049
# of episode :180
exploiter avg. score: 6.9, avg. epi length: 1214
# of episode :200
exploiter avg. score: 2.45, avg. epi length: 1234
# of episode :220
exploiter avg. score: 7.1, avg. epi length: 1178
# of episode :240
exploiter avg. score: 1.4, avg. epi length: 1267
# of episode :260
exploiter avg. score: -0.2, avg. epi length: 1280
# of episode :280
exploiter avg. score: 3.1, avg. epi length: 1258
# of episode :300
exploiter avg. score: 5.55, avg. epi length: 1175
# of episode :320
exploiter avg. score: 4.65, avg. epi length: 1196
# of episode :340
exploiter avg. score: 2.3, avg. epi length: 1217
# of episode :360
exploiter avg. score: 1.2, avg. epi length: 1274
# of episode :380
exploiter avg. score: 1.05, avg. epi length: 1179
# of episode :400
exploiter avg. score: 5.45, avg. epi length: 1155
# of episode :420
exploiter avg. score: 5.05, avg. epi length: 1228
# of episode :440
exploiter avg. score: -1.5, avg. epi length: 1213
# of episode :460
exploiter avg. score: -1.5, avg. epi length: 1226
# of episode :480
exploiter avg. score: 1.8, avg. epi length: 1292
# of episode :500
exploiter avg. score: 2.85, avg. epi length: 1261
# of episode :520
exploiter avg. score: 4.95, avg. epi length: 1314
# of episode :540
exploiter avg. score: -0.75, avg. epi length: 1364
# of episode :560
exploiter avg. score: 2.25, avg. epi length: 1252
# of episode :580
exploiter avg. score: 4.05, avg. epi length: 1319
# of episode :600
exploiter avg. score: 6.45, avg. epi length: 1290
# of episode :620
exploiter avg. score: 7.65, avg. epi length: 1244
# of episode :640
exploiter avg. score: 3.5, avg. epi length: 1329
# of episode :660
exploiter avg. score: -0.15, avg. epi length: 1345
# of episode :680
exploiter avg. score: -1.5, avg. epi length: 1275
# of episode :700
exploiter avg. score: 3.1, avg. epi length: 1273
# of episode :720
exploiter avg. score: 2.1, avg. epi length: 1183
# of episode :740
exploiter avg. score: -1.8, avg. epi length: 1267
# of episode :760
exploiter avg. score: 6.45, avg. epi length: 1071
# of episode :780
exploiter avg. score: 1.8, avg. epi length: 1258
# of episode :800
exploiter avg. score: 7.75, avg. epi length: 1225
# of episode :820
exploiter avg. score: 4.75, avg. epi length: 1061
# of episode :840
exploiter avg. score: 1.3, avg. epi length: 1166
# of episode :860
exploiter avg. score: -3.8, avg. epi length: 1250
# of episode :880
exploiter avg. score: 1.65, avg. epi length: 1237
# of episode :900
exploiter avg. score: -0.25, avg. epi length: 1243
# of episode :920
exploiter avg. score: 2.7, avg. epi length: 1376
# of episode :940
exploiter avg. score: 5.9, avg. epi length: 1235
# of episode :960
exploiter avg. score: 5.75, avg. epi length: 1335
# of episode :980
exploiter avg. score: 9.05, avg. epi length: 1199
Final score: 9.05, episode length: 1199
load model:  340 340mappo_single_1
model/pong_v1/selfplay/340mappo_single_1
# of episode :0
exploiter avg. score: -0.9, avg. epi length: 993
# of episode :20
exploiter avg. score: 2.75, avg. epi length: 1294
# of episode :40
exploiter avg. score: -2.8, avg. epi length: 1356
# of episode :60
exploiter avg. score: -4.0, avg. epi length: 1379
# of episode :80
exploiter avg. score: -10.7, avg. epi length: 1269
# of episode :100
exploiter avg. score: -8.05, avg. epi length: 1394
# of episode :120
exploiter avg. score: -6.95, avg. epi length: 1352
# of episode :140
exploiter avg. score: -7.2, avg. epi length: 1244
# of episode :160
exploiter avg. score: -1.25, avg. epi length: 1254
# of episode :180
exploiter avg. score: -4.85, avg. epi length: 1399
# of episode :200
exploiter avg. score: -7.45, avg. epi length: 1391
# of episode :220
exploiter avg. score: -3.1, avg. epi length: 1405
# of episode :240
exploiter avg. score: -8.65, avg. epi length: 1275
# of episode :260
exploiter avg. score: -8.4, avg. epi length: 1374
# of episode :280
exploiter avg. score: -7.45, avg. epi length: 1263
# of episode :300
exploiter avg. score: -5.05, avg. epi length: 1366
# of episode :320
exploiter avg. score: -6.8, avg. epi length: 1248
# of episode :340
exploiter avg. score: -6.85, avg. epi length: 1334
# of episode :360
exploiter avg. score: -12.7, avg. epi length: 1075
# of episode :380
exploiter avg. score: -7.1, avg. epi length: 1322
# of episode :400
exploiter avg. score: -4.6, avg. epi length: 1325
# of episode :420
exploiter avg. score: -5.0, avg. epi length: 1336
# of episode :440
exploiter avg. score: -3.95, avg. epi length: 1358
# of episode :460
exploiter avg. score: -1.5, avg. epi length: 1330
# of episode :480
exploiter avg. score: -3.25, avg. epi length: 1378
# of episode :500
exploiter avg. score: -7.1, avg. epi length: 1217
# of episode :520
exploiter avg. score: -7.95, avg. epi length: 1313
# of episode :540
exploiter avg. score: -3.5, avg. epi length: 1368
# of episode :560
exploiter avg. score: -8.0, avg. epi length: 1387
# of episode :580
exploiter avg. score: -0.25, avg. epi length: 1481
# of episode :600
exploiter avg. score: -2.85, avg. epi length: 1425
# of episode :620
exploiter avg. score: -6.25, avg. epi length: 1303
# of episode :640
exploiter avg. score: 0.25, avg. epi length: 1429
# of episode :660
exploiter avg. score: 0.3, avg. epi length: 1251
# of episode :680
exploiter avg. score: 1.5, avg. epi length: 1378
# of episode :700
exploiter avg. score: -6.05, avg. epi length: 1327
# of episode :720
exploiter avg. score: 0.65, avg. epi length: 1407
# of episode :740
exploiter avg. score: -0.35, avg. epi length: 1365
# of episode :760
exploiter avg. score: -3.8, avg. epi length: 1401
# of episode :780
exploiter avg. score: -7.9, avg. epi length: 1242
# of episode :800
exploiter avg. score: 0.05, avg. epi length: 1367
# of episode :820
exploiter avg. score: 0.6, avg. epi length: 1423
# of episode :840
exploiter avg. score: -2.0, avg. epi length: 1397
# of episode :860
exploiter avg. score: 5.35, avg. epi length: 1383
# of episode :880
exploiter avg. score: 0.0, avg. epi length: 1430
# of episode :900
exploiter avg. score: 2.15, avg. epi length: 1475
# of episode :920
exploiter avg. score: 5.35, avg. epi length: 1466
# of episode :940
exploiter avg. score: 5.1, avg. epi length: 1495
# of episode :960
exploiter avg. score: 4.55, avg. epi length: 1355
# of episode :980
exploiter avg. score: 4.25, avg. epi length: 1390
Final score: 4.25, episode length: 1390
load model:  460 460mappo_single_1
model/pong_v1/selfplay/460mappo_single_1
# of episode :0
exploiter avg. score: -0.2, avg. epi length: 1790
# of episode :20
exploiter avg. score: -3.3, avg. epi length: 1690
# of episode :40
exploiter avg. score: -3.15, avg. epi length: 1771
# of episode :60
exploiter avg. score: -3.65, avg. epi length: 1788
# of episode :80
exploiter avg. score: 4.2, avg. epi length: 1698
# of episode :100
exploiter avg. score: 1.95, avg. epi length: 1770
# of episode :120
exploiter avg. score: -1.6, avg. epi length: 1774
# of episode :140
exploiter avg. score: 4.1, avg. epi length: 1682
# of episode :160
exploiter avg. score: 1.3, avg. epi length: 1654
# of episode :180
exploiter avg. score: 0.2, avg. epi length: 1881
# of episode :200
exploiter avg. score: 3.1, avg. epi length: 1839
# of episode :220
exploiter avg. score: 0.65, avg. epi length: 1684
# of episode :240
exploiter avg. score: 3.65, avg. epi length: 1671
# of episode :260
exploiter avg. score: 5.4, avg. epi length: 1717
# of episode :280
exploiter avg. score: -1.95, avg. epi length: 1686
# of episode :300
exploiter avg. score: -3.8, avg. epi length: 1631
# of episode :320
exploiter avg. score: 5.9, avg. epi length: 1618
# of episode :340
exploiter avg. score: -1.15, avg. epi length: 1744
# of episode :360
exploiter avg. score: 3.55, avg. epi length: 1672
# of episode :380
exploiter avg. score: 2.35, avg. epi length: 1754
# of episode :400
exploiter avg. score: 2.05, avg. epi length: 1650
# of episode :420
exploiter avg. score: 1.95, avg. epi length: 1656
# of episode :440
exploiter avg. score: 1.35, avg. epi length: 1570
# of episode :460
exploiter avg. score: 8.3, avg. epi length: 1600
# of episode :480
exploiter avg. score: -1.85, avg. epi length: 1569
# of episode :500
exploiter avg. score: 0.45, avg. epi length: 1674
# of episode :520
exploiter avg. score: 4.6, avg. epi length: 1629
# of episode :540
exploiter avg. score: 6.1, avg. epi length: 1782
# of episode :560
exploiter avg. score: 5.45, avg. epi length: 1728
# of episode :580
exploiter avg. score: 5.2, avg. epi length: 1727
# of episode :600
exploiter avg. score: 7.15, avg. epi length: 1596
# of episode :620
exploiter avg. score: 5.85, avg. epi length: 1712
# of episode :640
exploiter avg. score: 7.45, avg. epi length: 1579
# of episode :660
exploiter avg. score: 6.9, avg. epi length: 1702
# of episode :680
exploiter avg. score: 5.6, avg. epi length: 1659
# of episode :700
exploiter avg. score: 7.7, avg. epi length: 1615
# of episode :720
exploiter avg. score: 6.75, avg. epi length: 1771
# of episode :740
exploiter avg. score: 5.05, avg. epi length: 1750
# of episode :760
exploiter avg. score: 3.25, avg. epi length: 1587
# of episode :780
exploiter avg. score: 4.8, avg. epi length: 1704
# of episode :800
exploiter avg. score: 6.35, avg. epi length: 1771
# of episode :820
exploiter avg. score: 3.15, avg. epi length: 1703
# of episode :840
exploiter avg. score: 4.45, avg. epi length: 1556
# of episode :860
exploiter avg. score: 10.3, avg. epi length: 1562
# of episode :880
exploiter avg. score: 5.85, avg. epi length: 1671
# of episode :900
exploiter avg. score: 7.75, avg. epi length: 1461
# of episode :920
exploiter avg. score: 4.65, avg. epi length: 1714
# of episode :940
exploiter avg. score: 3.55, avg. epi length: 1652
# of episode :960
exploiter avg. score: 6.25, avg. epi length: 1650
# of episode :980
exploiter avg. score: 7.7, avg. epi length: 1657
Final score: 7.7, episode length: 1657
load model:  480 480mappo_single_1
model/pong_v1/selfplay/480mappo_single_1
# of episode :0
exploiter avg. score: -0.5, avg. epi length: 1668
# of episode :20
exploiter avg. score: 8.95, avg. epi length: 1642
# of episode :40
exploiter avg. score: 9.95, avg. epi length: 1531
# of episode :60
exploiter avg. score: 1.2, avg. epi length: 1592
# of episode :80
exploiter avg. score: 8.75, avg. epi length: 1489
# of episode :100
exploiter avg. score: 4.7, avg. epi length: 1644
# of episode :120
exploiter avg. score: 6.5, avg. epi length: 1669
# of episode :140
exploiter avg. score: 9.25, avg. epi length: 1557
# of episode :160
exploiter avg. score: 9.65, avg. epi length: 1545
# of episode :180
exploiter avg. score: 9.2, avg. epi length: 1565
# of episode :200
exploiter avg. score: 9.4, avg. epi length: 1537
# of episode :220
exploiter avg. score: 8.05, avg. epi length: 1566
# of episode :240
exploiter avg. score: 5.1, avg. epi length: 1692
# of episode :260
exploiter avg. score: 8.9, avg. epi length: 1557
# of episode :280
exploiter avg. score: 7.25, avg. epi length: 1489
# of episode :300
exploiter avg. score: 9.6, avg. epi length: 1427
# of episode :320
exploiter avg. score: 9.55, avg. epi length: 1444
# of episode :340
exploiter avg. score: 2.75, avg. epi length: 1545
# of episode :360
exploiter avg. score: 6.45, avg. epi length: 1560
# of episode :380
exploiter avg. score: 2.55, avg. epi length: 1601
# of episode :400
exploiter avg. score: 1.95, avg. epi length: 1652
# of episode :420
exploiter avg. score: 9.4, avg. epi length: 1496
# of episode :440
exploiter avg. score: 7.8, avg. epi length: 1552
# of episode :460
exploiter avg. score: 4.0, avg. epi length: 1604
# of episode :480
exploiter avg. score: 8.75, avg. epi length: 1506
# of episode :500
exploiter avg. score: 6.6, avg. epi length: 1528
# of episode :520
exploiter avg. score: 9.8, avg. epi length: 1500
# of episode :540
exploiter avg. score: 7.65, avg. epi length: 1690
# of episode :560
exploiter avg. score: 8.25, avg. epi length: 1469
# of episode :580
exploiter avg. score: 9.0, avg. epi length: 1570
# of episode :600
exploiter avg. score: 9.05, avg. epi length: 1611
# of episode :620
exploiter avg. score: 10.55, avg. epi length: 1483
# of episode :640
exploiter avg. score: 5.7, avg. epi length: 1532
# of episode :660
exploiter avg. score: 4.35, avg. epi length: 1506
# of episode :680
exploiter avg. score: 1.05, avg. epi length: 1569
# of episode :700
exploiter avg. score: 5.5, avg. epi length: 1651
# of episode :720
exploiter avg. score: 10.6, avg. epi length: 1392
# of episode :740
exploiter avg. score: 9.9, avg. epi length: 1539
# of episode :760
exploiter avg. score: 3.95, avg. epi length: 1582
# of episode :780
exploiter avg. score: 8.85, avg. epi length: 1513
# of episode :800
exploiter avg. score: 8.8, avg. epi length: 1481
# of episode :820
exploiter avg. score: 9.25, avg. epi length: 1562
# of episode :840
exploiter avg. score: 6.8, avg. epi length: 1666
# of episode :860
exploiter avg. score: 9.3, avg. epi length: 1493
# of episode :880
exploiter avg. score: 3.8, avg. epi length: 1520
# of episode :900
exploiter avg. score: 5.5, avg. epi length: 1687
# of episode :920
exploiter avg. score: 6.75, avg. epi length: 1512
# of episode :940
exploiter avg. score: 11.9, avg. epi length: 1449
# of episode :960
exploiter avg. score: 3.8, avg. epi length: 1704
# of episode :980
exploiter avg. score: 5.75, avg. epi length: 1652
Final score: 5.75, episode length: 1652
load model:  500 500mappo_single_1
model/pong_v1/selfplay/500mappo_single_1
# of episode :0
exploiter avg. score: 0.65, avg. epi length: 1345
# of episode :20
exploiter avg. score: 7.1, avg. epi length: 1680
# of episode :40
exploiter avg. score: 6.1, avg. epi length: 1755
# of episode :60
exploiter avg. score: 5.75, avg. epi length: 1773
# of episode :80
exploiter avg. score: 9.1, avg. epi length: 1520
# of episode :100
exploiter avg. score: 5.2, avg. epi length: 1638
# of episode :120
exploiter avg. score: 7.7, avg. epi length: 1608
# of episode :140
exploiter avg. score: 2.25, avg. epi length: 1681
# of episode :160
exploiter avg. score: 7.7, avg. epi length: 1484
# of episode :180
exploiter avg. score: 8.25, avg. epi length: 1559
# of episode :200
exploiter avg. score: 9.4, avg. epi length: 1485
# of episode :220
exploiter avg. score: 3.2, avg. epi length: 1688
# of episode :240
exploiter avg. score: 8.15, avg. epi length: 1570
# of episode :260
exploiter avg. score: 4.85, avg. epi length: 1651
# of episode :280
exploiter avg. score: 8.85, avg. epi length: 1607
# of episode :300
exploiter avg. score: 5.05, avg. epi length: 1697
# of episode :320
exploiter avg. score: 10.1, avg. epi length: 1485
# of episode :340
exploiter avg. score: 7.45, avg. epi length: 1551
# of episode :360
exploiter avg. score: 0.85, avg. epi length: 1635
# of episode :380
exploiter avg. score: 4.0, avg. epi length: 1578
# of episode :400
exploiter avg. score: 4.1, avg. epi length: 1645
# of episode :420
exploiter avg. score: 5.8, avg. epi length: 1660
# of episode :440
exploiter avg. score: 9.2, avg. epi length: 1547
# of episode :460
exploiter avg. score: 9.6, avg. epi length: 1543
# of episode :480
exploiter avg. score: 8.8, avg. epi length: 1499
# of episode :500
exploiter avg. score: 5.7, avg. epi length: 1688
# of episode :520
exploiter avg. score: 7.5, avg. epi length: 1590
# of episode :540
exploiter avg. score: 9.85, avg. epi length: 1520
# of episode :560
exploiter avg. score: 5.6, avg. epi length: 1610
# of episode :580
exploiter avg. score: 8.05, avg. epi length: 1547
# of episode :600
exploiter avg. score: 8.3, avg. epi length: 1522
# of episode :620
exploiter avg. score: 10.0, avg. epi length: 1560
# of episode :640
exploiter avg. score: 4.1, avg. epi length: 1667
# of episode :660
exploiter avg. score: 8.15, avg. epi length: 1600
# of episode :680
exploiter avg. score: 10.15, avg. epi length: 1506
# of episode :700
exploiter avg. score: 6.5, avg. epi length: 1653
# of episode :720
exploiter avg. score: 8.05, avg. epi length: 1619
# of episode :740
exploiter avg. score: 9.05, avg. epi length: 1522
# of episode :760
exploiter avg. score: 9.05, avg. epi length: 1643
# of episode :780
exploiter avg. score: 7.05, avg. epi length: 1532
# of episode :800
exploiter avg. score: 8.8, avg. epi length: 1644
# of episode :820
exploiter avg. score: 7.65, avg. epi length: 1575
# of episode :840
exploiter avg. score: 11.6, avg. epi length: 1417
# of episode :860
exploiter avg. score: 9.45, avg. epi length: 1551
# of episode :880
exploiter avg. score: 10.85, avg. epi length: 1453
# of episode :900
exploiter avg. score: 7.8, avg. epi length: 1612
# of episode :920
exploiter avg. score: 9.45, avg. epi length: 1602
# of episode :940
exploiter avg. score: 6.8, avg. epi length: 1618
# of episode :960
exploiter avg. score: 5.95, avg. epi length: 1654
# of episode :980
exploiter avg. score: 6.65, avg. epi length: 1546
Final score: 6.65, episode length: 1546
load model:  520 520mappo_single_1
model/pong_v1/selfplay/520mappo_single_1
# of episode :0
exploiter avg. score: 0.6, avg. epi length: 1353
# of episode :20
exploiter avg. score: 3.3, avg. epi length: 1760
# of episode :40
exploiter avg. score: 2.65, avg. epi length: 1732
# of episode :60
exploiter avg. score: 9.0, avg. epi length: 1633
# of episode :80
exploiter avg. score: 7.0, avg. epi length: 1636
# of episode :100
exploiter avg. score: 7.2, avg. epi length: 1661
# of episode :120
exploiter avg. score: 5.05, avg. epi length: 1647
# of episode :140
exploiter avg. score: 7.95, avg. epi length: 1682
# of episode :160
exploiter avg. score: 9.6, avg. epi length: 1626
# of episode :180
exploiter avg. score: 8.05, avg. epi length: 1616
# of episode :200
exploiter avg. score: 3.7, avg. epi length: 1680
# of episode :220
exploiter avg. score: 5.9, avg. epi length: 1708
# of episode :240
exploiter avg. score: 7.1, avg. epi length: 1704
# of episode :260
exploiter avg. score: 3.45, avg. epi length: 1715
# of episode :280
exploiter avg. score: 5.65, avg. epi length: 1667
# of episode :300
exploiter avg. score: 4.8, avg. epi length: 1727
# of episode :320
exploiter avg. score: 6.45, avg. epi length: 1815
# of episode :340
exploiter avg. score: 7.95, avg. epi length: 1722
# of episode :360
exploiter avg. score: 8.3, avg. epi length: 1634
# of episode :380
exploiter avg. score: 7.45, avg. epi length: 1681
# of episode :400
exploiter avg. score: 8.55, avg. epi length: 1602
# of episode :420
exploiter avg. score: 8.55, avg. epi length: 1637
# of episode :440
exploiter avg. score: 8.05, avg. epi length: 1677
# of episode :460
exploiter avg. score: 6.95, avg. epi length: 1654
# of episode :480
exploiter avg. score: 10.5, avg. epi length: 1566
# of episode :500
exploiter avg. score: 8.7, avg. epi length: 1660
# of episode :520
exploiter avg. score: 6.25, avg. epi length: 1722
# of episode :540
exploiter avg. score: 10.05, avg. epi length: 1552
# of episode :560
exploiter avg. score: 9.5, avg. epi length: 1648
# of episode :580
exploiter avg. score: 8.65, avg. epi length: 1598
# of episode :600
exploiter avg. score: 5.9, avg. epi length: 1655
# of episode :620
exploiter avg. score: 6.8, avg. epi length: 1730
# of episode :640
exploiter avg. score: 3.1, avg. epi length: 1693
# of episode :660
exploiter avg. score: 9.2, avg. epi length: 1636
# of episode :680
exploiter avg. score: 5.9, avg. epi length: 1746
# of episode :700
exploiter avg. score: 3.95, avg. epi length: 1662
# of episode :720
exploiter avg. score: 5.7, avg. epi length: 1758
# of episode :740
exploiter avg. score: 4.85, avg. epi length: 1654
# of episode :760
exploiter avg. score: 9.15, avg. epi length: 1654
# of episode :780
exploiter avg. score: 5.1, avg. epi length: 1663
# of episode :800
exploiter avg. score: 9.0, avg. epi length: 1616
# of episode :820
exploiter avg. score: 8.2, avg. epi length: 1656
# of episode :840
exploiter avg. score: 10.0, avg. epi length: 1647
# of episode :860
exploiter avg. score: 8.5, avg. epi length: 1685
# of episode :880
exploiter avg. score: 9.95, avg. epi length: 1574
# of episode :900
exploiter avg. score: 8.5, avg. epi length: 1713
# of episode :920
exploiter avg. score: 8.45, avg. epi length: 1694
# of episode :940
exploiter avg. score: 9.35, avg. epi length: 1625
# of episode :960
exploiter avg. score: 7.05, avg. epi length: 1728
# of episode :980
exploiter avg. score: 9.55, avg. epi length: 1613
Final score: 9.55, episode length: 1613
load model:  540 540mappo_single_1
model/pong_v1/selfplay/540mappo_single_1
# of episode :0
exploiter avg. score: 0.65, avg. epi length: 1371
# of episode :20
exploiter avg. score: 12.0, avg. epi length: 1496
# of episode :40
exploiter avg. score: 9.7, avg. epi length: 1562
# of episode :60
exploiter avg. score: 11.45, avg. epi length: 1458
# of episode :80
exploiter avg. score: 10.15, avg. epi length: 1533
# of episode :100
exploiter avg. score: 9.05, avg. epi length: 1561
# of episode :120
exploiter avg. score: 10.6, avg. epi length: 1474
# of episode :140
exploiter avg. score: 11.55, avg. epi length: 1513
# of episode :160
exploiter avg. score: 10.0, avg. epi length: 1534
# of episode :180
exploiter avg. score: 13.3, avg. epi length: 1385
# of episode :200
exploiter avg. score: 13.0, avg. epi length: 1365
# of episode :220
exploiter avg. score: 9.75, avg. epi length: 1521
# of episode :240
exploiter avg. score: 10.3, avg. epi length: 1532
# of episode :260
exploiter avg. score: 11.15, avg. epi length: 1467
# of episode :280
exploiter avg. score: 13.8, avg. epi length: 1282
# of episode :300
exploiter avg. score: 10.4, avg. epi length: 1524
# of episode :320
exploiter avg. score: 13.15, avg. epi length: 1364
# of episode :340
exploiter avg. score: 10.75, avg. epi length: 1441
# of episode :360
exploiter avg. score: 9.65, avg. epi length: 1570
# of episode :380
exploiter avg. score: 10.85, avg. epi length: 1452
# of episode :400
exploiter avg. score: 10.7, avg. epi length: 1547
# of episode :420
exploiter avg. score: 11.85, avg. epi length: 1400
# of episode :440
exploiter avg. score: 11.05, avg. epi length: 1482
# of episode :460
exploiter avg. score: 11.3, avg. epi length: 1477
# of episode :480
exploiter avg. score: 12.0, avg. epi length: 1559
# of episode :500
exploiter avg. score: 12.15, avg. epi length: 1464
# of episode :520
exploiter avg. score: 11.35, avg. epi length: 1489
# of episode :540
exploiter avg. score: 7.7, avg. epi length: 1593
# of episode :560
exploiter avg. score: 7.55, avg. epi length: 1570
# of episode :580
exploiter avg. score: 12.6, avg. epi length: 1418
# of episode :600
exploiter avg. score: 7.55, avg. epi length: 1618
# of episode :620
exploiter avg. score: 11.75, avg. epi length: 1421
# of episode :640
exploiter avg. score: 9.3, avg. epi length: 1601
# of episode :660
exploiter avg. score: 8.9, avg. epi length: 1646
# of episode :680
exploiter avg. score: 11.85, avg. epi length: 1438
# of episode :700
exploiter avg. score: 7.85, avg. epi length: 1569
# of episode :720
exploiter avg. score: 11.9, avg. epi length: 1470
# of episode :740
exploiter avg. score: 12.45, avg. epi length: 1439
# of episode :760
exploiter avg. score: 11.8, avg. epi length: 1451
# of episode :780
exploiter avg. score: 10.0, avg. epi length: 1577
# of episode :800
exploiter avg. score: 9.15, avg. epi length: 1590
# of episode :820
exploiter avg. score: 8.45, avg. epi length: 1575
# of episode :840
exploiter avg. score: 11.5, avg. epi length: 1459
# of episode :860
exploiter avg. score: 9.5, avg. epi length: 1621
# of episode :880
exploiter avg. score: 10.15, avg. epi length: 1512
# of episode :900
exploiter avg. score: 8.8, avg. epi length: 1585
# of episode :920
exploiter avg. score: 12.35, avg. epi length: 1434
# of episode :940
