state_spaces:  {'first_0': Box(0.0, 1.0, (128,), float32), 'second_0': Box(0.0, 1.0, (128,), float32)} ,  action_spaces:  {'first_0': Discrete(18), 'second_0': Discrete(18)}
['first_0', 'second_0']
exploiter avg. score: -1.15, avg. epi length: 1784
# of episode :400
exploiter avg. score: -1.0, avg. epi length: 1784
# of episode :420
exploiter avg. score: -0.8, avg. epi length: 1784
# of episode :440
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :460
exploiter avg. score: -0.3, avg. epi length: 1784
# of episode :480
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :500
exploiter avg. score: 1.7, avg. epi length: 1784
# of episode :520
exploiter avg. score: -1.6, avg. epi length: 1784
# of episode :540
exploiter avg. score: 0.2, avg. epi length: 1784
# of episode :560
exploiter avg. score: 0.6, avg. epi length: 1784
# of episode :580
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :600
exploiter avg. score: 1.7, avg. epi length: 1784
# of episode :620
exploiter avg. score: -3.7, avg. epi length: 1784
# of episode :640
exploiter avg. score: -0.4, avg. epi length: 1784
# of episode :660
exploiter avg. score: -0.75, avg. epi length: 1784
# of episode :680
exploiter avg. score: 1.4, avg. epi length: 1784
# of episode :700
exploiter avg. score: -0.35, avg. epi length: 1784
# of episode :720
exploiter avg. score: 4.2, avg. epi length: 1784
# of episode :740
exploiter avg. score: -1.75, avg. epi length: 1784
# of episode :760
exploiter avg. score: 4.95, avg. epi length: 1784
# of episode :780
exploiter avg. score: -0.1, avg. epi length: 1784
# of episode :800
exploiter avg. score: 0.25, avg. epi length: 1784
# of episode :820
exploiter avg. score: -0.6, avg. epi length: 1784
# of episode :840
exploiter avg. score: 1.6, avg. epi length: 1784
# of episode :860
exploiter avg. score: 5.65, avg. epi length: 1784
# of episode :880
exploiter avg. score: 1.45, avg. epi length: 1784
# of episode :900
exploiter avg. score: 2.8, avg. epi length: 1784
# of episode :920
exploiter avg. score: -1.3, avg. epi length: 1784
# of episode :940
exploiter avg. score: -0.7, avg. epi length: 1784
# of episode :960
exploiter avg. score: 3.8, avg. epi length: 1784
# of episode :980
exploiter avg. score: 4.9, avg. epi length: 1784
Final score: 4.9, episode length: 1784
load model:  20 20mappo_single_1
model/boxing_v1/selfplay/20mappo_single_1
# of episode :0
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :20
exploiter avg. score: 0.2, avg. epi length: 1784
# of episode :40
exploiter avg. score: -1.05, avg. epi length: 1784
# of episode :60
exploiter avg. score: -0.2, avg. epi length: 1784
# of episode :80
exploiter avg. score: 0.55, avg. epi length: 1784
# of episode :100
exploiter avg. score: -1.7, avg. epi length: 1784
# of episode :120
exploiter avg. score: -1.1, avg. epi length: 1784
# of episode :140
exploiter avg. score: 0.15, avg. epi length: 1784
# of episode :160
exploiter avg. score: 0.6, avg. epi length: 1784
# of episode :180
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :200
exploiter avg. score: -0.5, avg. epi length: 1784
# of episode :220
exploiter avg. score: -0.1, avg. epi length: 1784
# of episode :240
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :260
exploiter avg. score: -0.2, avg. epi length: 1784
# of episode :280
exploiter avg. score: 0.1, avg. epi length: 1784
# of episode :300
exploiter avg. score: -0.15, avg. epi length: 1784
# of episode :320
exploiter avg. score: -0.45, avg. epi length: 1784
# of episode :340
exploiter avg. score: 0.05, avg. epi length: 1784
# of episode :360
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :380
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :400
exploiter avg. score: 0.1, avg. epi length: 1784
# of episode :420
exploiter avg. score: -0.55, avg. epi length: 1784
# of episode :440
exploiter avg. score: -0.5, avg. epi length: 1784
# of episode :460
exploiter avg. score: -0.5, avg. epi length: 1784
# of episode :480
exploiter avg. score: 0.55, avg. epi length: 1784
# of episode :500
exploiter avg. score: -0.6, avg. epi length: 1784
# of episode :520
exploiter avg. score: 0.05, avg. epi length: 1784
# of episode :540
exploiter avg. score: 0.25, avg. epi length: 1784
# of episode :560
exploiter avg. score: 0.2, avg. epi length: 1784
# of episode :580
exploiter avg. score: 1.4, avg. epi length: 1784
# of episode :600
exploiter avg. score: -0.7, avg. epi length: 1784
# of episode :620
exploiter avg. score: -0.45, avg. epi length: 1784
# of episode :640
exploiter avg. score: 1.0, avg. epi length: 1784
# of episode :660
exploiter avg. score: -0.15, avg. epi length: 1784
# of episode :680
exploiter avg. score: 4.1, avg. epi length: 1784
# of episode :700
exploiter avg. score: 0.2, avg. epi length: 1784
# of episode :720
exploiter avg. score: -0.8, avg. epi length: 1784
# of episode :740
exploiter avg. score: -0.15, avg. epi length: 1784
# of episode :760
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :780
exploiter avg. score: -0.1, avg. epi length: 1784
# of episode :800
exploiter avg. score: 0.45, avg. epi length: 1784
# of episode :820
exploiter avg. score: -0.5, avg. epi length: 1784
# of episode :840
exploiter avg. score: -3.45, avg. epi length: 1784
# of episode :860
exploiter avg. score: -6.35, avg. epi length: 1784
# of episode :880
exploiter avg. score: 0.1, avg. epi length: 1784
# of episode :900
exploiter avg. score: 0.9, avg. epi length: 1784
# of episode :920
exploiter avg. score: -2.05, avg. epi length: 1784
# of episode :940
exploiter avg. score: -0.2, avg. epi length: 1784
# of episode :960
exploiter avg. score: -0.15, avg. epi length: 1784
# of episode :980
exploiter avg. score: 0.0, avg. epi length: 1784
Final score: 0.0, episode length: 1784
load model:  60 60mappo_single_1
model/boxing_v1/selfplay/60mappo_single_1
# of episode :0
exploiter avg. score: -0.55, avg. epi length: 1784
# of episode :20
exploiter avg. score: 0.4, avg. epi length: 1784
# of episode :40
exploiter avg. score: -0.95, avg. epi length: 1784
# of episode :60
exploiter avg. score: -3.0, avg. epi length: 1784
# of episode :80
exploiter avg. score: 0.55, avg. epi length: 1784
# of episode :100
exploiter avg. score: -0.1, avg. epi length: 1784
# of episode :120
exploiter avg. score: -0.15, avg. epi length: 1784
# of episode :140
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :160
exploiter avg. score: -0.85, avg. epi length: 1784
# of episode :180
exploiter avg. score: -0.3, avg. epi length: 1784
# of episode :200
exploiter avg. score: -0.15, avg. epi length: 1784
# of episode :220
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :240
exploiter avg. score: 0.65, avg. epi length: 1784
# of episode :260
exploiter avg. score: -0.15, avg. epi length: 1784
# of episode :280
exploiter avg. score: -1.55, avg. epi length: 1784
# of episode :300
exploiter avg. score: -1.0, avg. epi length: 1784
# of episode :320
exploiter avg. score: -0.95, avg. epi length: 1784
# of episode :340
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :360
exploiter avg. score: -2.85, avg. epi length: 1784
# of episode :380
exploiter avg. score: -1.4, avg. epi length: 1784
# of episode :400
exploiter avg. score: -2.15, avg. epi length: 1784
# of episode :420
exploiter avg. score: -1.8, avg. epi length: 1784
# of episode :440
exploiter avg. score: -4.05, avg. epi length: 1784
# of episode :460
exploiter avg. score: -1.05, avg. epi length: 1784
# of episode :480
exploiter avg. score: -0.75, avg. epi length: 1784
# of episode :500
exploiter avg. score: -2.8, avg. epi length: 1784
# of episode :520
exploiter avg. score: -4.85, avg. epi length: 1784
# of episode :540
exploiter avg. score: -2.45, avg. epi length: 1784
# of episode :560
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :580
exploiter avg. score: -1.3, avg. epi length: 1784
# of episode :600
exploiter avg. score: -2.6, avg. epi length: 1784
# of episode :620
exploiter avg. score: -2.1, avg. epi length: 1784
# of episode :640
exploiter avg. score: 0.75, avg. epi length: 1784
# of episode :660
exploiter avg. score: -0.8, avg. epi length: 1784
# of episode :680
exploiter avg. score: 1.2, avg. epi length: 1784
# of episode :700
exploiter avg. score: -0.6, avg. epi length: 1784
# of episode :720
exploiter avg. score: 3.55, avg. epi length: 1784
# of episode :740
exploiter avg. score: -2.9, avg. epi length: 1784
# of episode :760
exploiter avg. score: -1.2, avg. epi length: 1784
# of episode :780
exploiter avg. score: -4.55, avg. epi length: 1784
# of episode :800
exploiter avg. score: -3.95, avg. epi length: 1784
# of episode :820
exploiter avg. score: -0.45, avg. epi length: 1784
# of episode :840
exploiter avg. score: -4.3, avg. epi length: 1784
# of episode :860
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :880
exploiter avg. score: -2.4, avg. epi length: 1784
# of episode :900
exploiter avg. score: -2.5, avg. epi length: 1784
# of episode :920
exploiter avg. score: -0.9, avg. epi length: 1784
# of episode :940
exploiter avg. score: -1.5, avg. epi length: 1784
# of episode :960
exploiter avg. score: -1.6, avg. epi length: 1784
# of episode :980
exploiter avg. score: -2.1, avg. epi length: 1784
Final score: -2.1, episode length: 1784
load model:  80 80mappo_single_1
model/boxing_v1/selfplay/80mappo_single_1
# of episode :0
exploiter avg. score: 0.3, avg. epi length: 1784
# of episode :20
exploiter avg. score: -3.7, avg. epi length: 1784
# of episode :40
exploiter avg. score: -1.95, avg. epi length: 1784
# of episode :60
exploiter avg. score: 0.25, avg. epi length: 1784
# of episode :80
exploiter avg. score: 0.1, avg. epi length: 1784
# of episode :100
exploiter avg. score: -1.6, avg. epi length: 1784
# of episode :120
exploiter avg. score: -0.3, avg. epi length: 1784
# of episode :140
exploiter avg. score: -2.55, avg. epi length: 1784
# of episode :160
exploiter avg. score: -5.2, avg. epi length: 1784
# of episode :180
exploiter avg. score: -7.15, avg. epi length: 1784
# of episode :200
exploiter avg. score: -4.05, avg. epi length: 1784
# of episode :220
exploiter avg. score: -0.3, avg. epi length: 1784
# of episode :240
exploiter avg. score: -2.35, avg. epi length: 1784
# of episode :260
exploiter avg. score: -2.0, avg. epi length: 1784
# of episode :280
exploiter avg. score: -1.7, avg. epi length: 1784
# of episode :300
exploiter avg. score: -2.75, avg. epi length: 1784
# of episode :320
exploiter avg. score: -2.45, avg. epi length: 1784
# of episode :340
exploiter avg. score: -0.45, avg. epi length: 1784
# of episode :360
exploiter avg. score: -2.05, avg. epi length: 1784
# of episode :380
exploiter avg. score: -2.2, avg. epi length: 1784
# of episode :400
exploiter avg. score: -3.9, avg. epi length: 1784
# of episode :420
exploiter avg. score: -2.4, avg. epi length: 1784
# of episode :440
exploiter avg. score: -3.15, avg. epi length: 1784
# of episode :460
exploiter avg. score: -2.75, avg. epi length: 1784
# of episode :480
exploiter avg. score: -3.1, avg. epi length: 1784
# of episode :500
exploiter avg. score: -1.15, avg. epi length: 1784
# of episode :520
exploiter avg. score: -1.35, avg. epi length: 1784
# of episode :540
exploiter avg. score: -0.9, avg. epi length: 1784
# of episode :560
exploiter avg. score: -0.8, avg. epi length: 1784
# of episode :580
exploiter avg. score: -2.85, avg. epi length: 1784
# of episode :600
exploiter avg. score: -1.9, avg. epi length: 1784
# of episode :620
exploiter avg. score: -4.0, avg. epi length: 1784
# of episode :640
exploiter avg. score: -2.6, avg. epi length: 1784
# of episode :660
exploiter avg. score: -0.4, avg. epi length: 1784
# of episode :680
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :700
exploiter avg. score: -1.25, avg. epi length: 1784
# of episode :720
exploiter avg. score: 0.2, avg. epi length: 1784
# of episode :740
exploiter avg. score: -1.85, avg. epi length: 1784
# of episode :760
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :780
exploiter avg. score: -4.7, avg. epi length: 1784
# of episode :800
exploiter avg. score: -1.4, avg. epi length: 1784
# of episode :820
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :840
exploiter avg. score: -4.3, avg. epi length: 1784
# of episode :860
exploiter avg. score: -2.95, avg. epi length: 1784
# of episode :880
exploiter avg. score: -0.7, avg. epi length: 1784
# of episode :900
exploiter avg. score: -0.35, avg. epi length: 1784
# of episode :920
exploiter avg. score: -1.15, avg. epi length: 1784
# of episode :940
exploiter avg. score: -1.5, avg. epi length: 1784
# of episode :960
exploiter avg. score: -0.35, avg. epi length: 1784
# of episode :980
exploiter avg. score: -4.65, avg. epi length: 1784
Final score: -4.65, episode length: 1784
load model:  440 440mappo_single_1
model/boxing_v1/selfplay/440mappo_single_1
# of episode :0
exploiter avg. score: -0.35, avg. epi length: 1784
# of episode :20
exploiter avg. score: -6.2, avg. epi length: 1784
# of episode :40
exploiter avg. score: -2.6, avg. epi length: 1784
# of episode :60
exploiter avg. score: -4.6, avg. epi length: 1784
# of episode :80
exploiter avg. score: -1.7, avg. epi length: 1784
# of episode :100
exploiter avg. score: -4.0, avg. epi length: 1784
# of episode :120
exploiter avg. score: -0.6, avg. epi length: 1784
# of episode :140
exploiter avg. score: -1.7, avg. epi length: 1784
# of episode :160
exploiter avg. score: 1.4, avg. epi length: 1784
# of episode :180
exploiter avg. score: -2.85, avg. epi length: 1784
# of episode :200
exploiter avg. score: -1.35, avg. epi length: 1784
# of episode :220
exploiter avg. score: -1.7, avg. epi length: 1784
# of episode :240
exploiter avg. score: -0.35, avg. epi length: 1784
# of episode :260
exploiter avg. score: -0.2, avg. epi length: 1784
# of episode :280
exploiter avg. score: -0.35, avg. epi length: 1784
# of episode :300
exploiter avg. score: -1.8, avg. epi length: 1784
# of episode :320
exploiter avg. score: 0.75, avg. epi length: 1784
# of episode :340
exploiter avg. score: -1.45, avg. epi length: 1784
# of episode :360
exploiter avg. score: -1.2, avg. epi length: 1784
# of episode :380
exploiter avg. score: -0.55, avg. epi length: 1784
# of episode :400
exploiter avg. score: 2.25, avg. epi length: 1784
# of episode :420
exploiter avg. score: -0.7, avg. epi length: 1784
# of episode :440
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :460
exploiter avg. score: -0.1, avg. epi length: 1784
# of episode :480
exploiter avg. score: 0.8, avg. epi length: 1784
# of episode :500
exploiter avg. score: -0.3, avg. epi length: 1784
# of episode :520
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :540
exploiter avg. score: 0.1, avg. epi length: 1784
# of episode :560
exploiter avg. score: -1.3, avg. epi length: 1784
# of episode :580
exploiter avg. score: 0.15, avg. epi length: 1784
# of episode :600
exploiter avg. score: -1.75, avg. epi length: 1784
# of episode :620
exploiter avg. score: -0.25, avg. epi length: 1784
# of episode :640
exploiter avg. score: -0.4, avg. epi length: 1784
# of episode :660
exploiter avg. score: 0.7, avg. epi length: 1784
# of episode :680
exploiter avg. score: -0.45, avg. epi length: 1784
# of episode :700
exploiter avg. score: -1.45, avg. epi length: 1784
# of episode :720
exploiter avg. score: -2.45, avg. epi length: 1784
# of episode :740
exploiter avg. score: -0.6, avg. epi length: 1784
# of episode :760
exploiter avg. score: -0.15, avg. epi length: 1784
# of episode :780
exploiter avg. score: -1.55, avg. epi length: 1784
# of episode :800
exploiter avg. score: -0.55, avg. epi length: 1784
# of episode :820
exploiter avg. score: 0.4, avg. epi length: 1784
# of episode :840
exploiter avg. score: -4.0, avg. epi length: 1784
# of episode :860
exploiter avg. score: -1.4, avg. epi length: 1784
# of episode :880
exploiter avg. score: -0.05, avg. epi length: 1784
# of episode :900
exploiter avg. score: -8.75, avg. epi length: 1784
# of episode :920
exploiter avg. score: -2.45, avg. epi length: 1784
# of episode :940
exploiter avg. score: -2.0, avg. epi length: 1784
# of episode :960
exploiter avg. score: -6.45, avg. epi length: 1784
# of episode :980
exploiter avg. score: -5.9, avg. epi length: 1784
Final score: -5.9, episode length: 1784
load model:  540 540mappo_single_1
model/boxing_v1/selfplay/540mappo_single_1
# of episode :0
exploiter avg. score: -0.55, avg. epi length: 1784
# of episode :20
exploiter avg. score: -12.65, avg. epi length: 1784
# of episode :40
exploiter avg. score: -12.15, avg. epi length: 1784
# of episode :60
exploiter avg. score: -7.3, avg. epi length: 1784
# of episode :80
exploiter avg. score: -13.75, avg. epi length: 1784
# of episode :100
exploiter avg. score: -13.1, avg. epi length: 1784
# of episode :120
exploiter avg. score: -13.85, avg. epi length: 1784
# of episode :140
exploiter avg. score: -11.25, avg. epi length: 1784
# of episode :160
exploiter avg. score: -6.9, avg. epi length: 1784
# of episode :180
exploiter avg. score: -6.45, avg. epi length: 1784
# of episode :200
exploiter avg. score: -15.0, avg. epi length: 1784
# of episode :220
exploiter avg. score: -7.05, avg. epi length: 1784
# of episode :240
exploiter avg. score: -8.5, avg. epi length: 1784
# of episode :260
exploiter avg. score: -7.05, avg. epi length: 1784
# of episode :280
exploiter avg. score: -3.85, avg. epi length: 1784
# of episode :300
exploiter avg. score: -6.15, avg. epi length: 1784
# of episode :320
exploiter avg. score: -7.75, avg. epi length: 1784
# of episode :340
exploiter avg. score: -5.25, avg. epi length: 1784
# of episode :360
exploiter avg. score: -3.9, avg. epi length: 1784
# of episode :380
exploiter avg. score: -9.9, avg. epi length: 1784
# of episode :400
exploiter avg. score: -7.85, avg. epi length: 1784
# of episode :420
exploiter avg. score: -7.6, avg. epi length: 1784
# of episode :440
exploiter avg. score: -5.15, avg. epi length: 1784
# of episode :460
exploiter avg. score: -6.65, avg. epi length: 1784
# of episode :480
exploiter avg. score: -5.7, avg. epi length: 1784
# of episode :500
exploiter avg. score: -5.75, avg. epi length: 1784
# of episode :520
exploiter avg. score: -5.95, avg. epi length: 1784
# of episode :540
exploiter avg. score: -6.55, avg. epi length: 1784
# of episode :560
exploiter avg. score: -10.25, avg. epi length: 1784
# of episode :580
exploiter avg. score: -6.8, avg. epi length: 1784
# of episode :600
exploiter avg. score: -4.15, avg. epi length: 1784
# of episode :620
exploiter avg. score: -8.45, avg. epi length: 1784
# of episode :640
exploiter avg. score: -7.95, avg. epi length: 1784
# of episode :660
exploiter avg. score: -5.9, avg. epi length: 1784
# of episode :680
exploiter avg. score: -6.85, avg. epi length: 1784
# of episode :700
exploiter avg. score: -4.1, avg. epi length: 1784
# of episode :720
exploiter avg. score: -5.15, avg. epi length: 1784
# of episode :740
exploiter avg. score: -9.25, avg. epi length: 1784
# of episode :760
exploiter avg. score: -6.45, avg. epi length: 1784
# of episode :780
exploiter avg. score: -5.5, avg. epi length: 1784
# of episode :800
exploiter avg. score: -12.45, avg. epi length: 1784
# of episode :820
exploiter avg. score: -12.0, avg. epi length: 1784
# of episode :840
exploiter avg. score: -6.5, avg. epi length: 1784
# of episode :860
exploiter avg. score: -3.8, avg. epi length: 1784
# of episode :880
exploiter avg. score: -11.85, avg. epi length: 1784
# of episode :900
exploiter avg. score: -9.45, avg. epi length: 1784
# of episode :920
exploiter avg. score: -6.6, avg. epi length: 1784
# of episode :940
exploiter avg. score: -5.0, avg. epi length: 1784
# of episode :960
exploiter avg. score: -7.35, avg. epi length: 1784
# of episode :980
exploiter avg. score: -4.95, avg. epi length: 1784
Final score: -4.95, episode length: 1784
load model:  560 560mappo_single_1
model/boxing_v1/selfplay/560mappo_single_1
# of episode :0
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :20
exploiter avg. score: -10.4, avg. epi length: 1784
# of episode :40
exploiter avg. score: -2.35, avg. epi length: 1784
# of episode :60
exploiter avg. score: -9.3, avg. epi length: 1784
# of episode :80
exploiter avg. score: -11.2, avg. epi length: 1784
# of episode :100
exploiter avg. score: -32.7, avg. epi length: 1784
# of episode :120
exploiter avg. score: -22.5, avg. epi length: 1725
# of episode :140
exploiter avg. score: -21.25, avg. epi length: 1776
# of episode :160
exploiter avg. score: -34.55, avg. epi length: 1760
# of episode :180
exploiter avg. score: -27.85, avg. epi length: 1776
# of episode :200
exploiter avg. score: -20.0, avg. epi length: 1784
# of episode :220
exploiter avg. score: -21.35, avg. epi length: 1784
# of episode :240
exploiter avg. score: -11.15, avg. epi length: 1784
# of episode :260
exploiter avg. score: -7.55, avg. epi length: 1784
# of episode :280
exploiter avg. score: -5.2, avg. epi length: 1784
# of episode :300
exploiter avg. score: -5.5, avg. epi length: 1784
# of episode :320
exploiter avg. score: -4.4, avg. epi length: 1784
# of episode :340
exploiter avg. score: -7.15, avg. epi length: 1784
# of episode :360
exploiter avg. score: -1.45, avg. epi length: 1784
# of episode :380
exploiter avg. score: -2.85, avg. epi length: 1784
# of episode :400
exploiter avg. score: -2.8, avg. epi length: 1784
# of episode :420
exploiter avg. score: -5.85, avg. epi length: 1784
# of episode :440
exploiter avg. score: -2.4, avg. epi length: 1784
# of episode :460
exploiter avg. score: -3.15, avg. epi length: 1784
# of episode :480
exploiter avg. score: -2.7, avg. epi length: 1784
# of episode :500
exploiter avg. score: -5.75, avg. epi length: 1784
# of episode :520
exploiter avg. score: -4.65, avg. epi length: 1784
# of episode :540
exploiter avg. score: -6.0, avg. epi length: 1784
# of episode :560
exploiter avg. score: -2.7, avg. epi length: 1784
# of episode :580
exploiter avg. score: -2.05, avg. epi length: 1784
# of episode :600
exploiter avg. score: -2.75, avg. epi length: 1784
# of episode :620
exploiter avg. score: -2.8, avg. epi length: 1784
# of episode :640
exploiter avg. score: -5.3, avg. epi length: 1784
# of episode :660
exploiter avg. score: -3.25, avg. epi length: 1784
# of episode :680
exploiter avg. score: -6.25, avg. epi length: 1784
# of episode :700
exploiter avg. score: -4.35, avg. epi length: 1784
# of episode :720
exploiter avg. score: -4.15, avg. epi length: 1784
# of episode :740
exploiter avg. score: -5.2, avg. epi length: 1784
# of episode :760
exploiter avg. score: -2.4, avg. epi length: 1784
# of episode :780
exploiter avg. score: -3.8, avg. epi length: 1784
# of episode :800
exploiter avg. score: -3.1, avg. epi length: 1784
# of episode :820
exploiter avg. score: -3.5, avg. epi length: 1784
# of episode :840
exploiter avg. score: -2.45, avg. epi length: 1784
# of episode :860
exploiter avg. score: -1.35, avg. epi length: 1784
# of episode :880
exploiter avg. score: -2.15, avg. epi length: 1784
# of episode :900
exploiter avg. score: -6.9, avg. epi length: 1784
# of episode :920
exploiter avg. score: -6.2, avg. epi length: 1784
# of episode :940
exploiter avg. score: -2.85, avg. epi length: 1784
# of episode :960
exploiter avg. score: -5.25, avg. epi length: 1784
# of episode :980
exploiter avg. score: -6.45, avg. epi length: 1784
Final score: -6.45, episode length: 1784
load model:  1000 1000mappo_single_1
model/boxing_v1/selfplay/1000mappo_single_1
# of episode :0
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :20
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :40
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :60
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :80
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :100
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :120
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :140
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :160
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :180
exploiter avg. score: 0.0, avg. epi length: 1784
# of episode :200
